Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,MRO,0,0,0,0,4360000000.0,9000000000.0,13.22,16.95,N/A,0.87,0.36,1.76,11.79,5.28,12.03,1.8,2.15,4920000000.0,6.12,-16.5,3810000000.0,3180000000.0,260000000.0,0.32,N/A,817000000.0,1.03,5690000000.0,47.59,1.32,15.12,2940000000.0,532620000.0,3.46,4.44,9.37,43990000.0,790310000.0,787840000.0,0.33,87.78,73100000.0,1.33,11.97,75140000.0
0,0,MS,0,0,0,0,63150000000.0,N/A,8.33,10.19,N/A,1.7,0.82,N/A,N/A,20.46,32.71,0.94,10.11,40620000000.0,25.53,-7.8,36730000000.0,N/A,7770000000.0,4.81,-30.1,580460000000.0,368.39,306230000000.0,351.07,1.85,49.09,47570000000.0,N/A,1.45,37.18,45.98,20350000.0,1580000000.0,1120000000.0,24.24,62.93,55410000.0,3.34,4.63,49490000.0
0,0,MSFT,0,0,0,0,904860000000.0,973970000000.0,30.6,29.24,2.24,10.2,12.16,9.58,19.83,33.36,37.46,11.84,44.2,138700000000.0,18.18,14.6,82930000000.0,64090000000.0,46270000000.0,6.0,22.1,137640000000.0,18.15,84020000000.0,73.38,2.9,15.09,58110000000.0,36200000000.0,0.95,167.9,161.27,55770000.0,7580000000.0,7470000000.0,1.42,74.09,47760000.0,0.98,0.64,58760000.0
0,0,MSI,0,0,0,0,23060000000.0,27770000000.0,25.2,15.02,1.09,2.93,N/A,3.52,16.63,11.59,21.8,10.38,N/A,7890000000.0,46.87,-0.1,3950000000.0,2120000000.0,914000000.0,5.21,30.5,1670000000.0,9.8,6380000000.0,N/A,1.15,-5.56,1880000000.0,1470000000.0,0.7,141.97,161.17,1550000.0,175700000.0,169930000.0,0.43,88.33,2630000.0,1.96,2.02,3790000.0
0,0,MTB,0,0,0,0,13450000000.0,N/A,8.51,11.57,3.13,2.26,0.92,N/A,N/A,30.12,41.71,1.4,10.92,5700000000.0,43.02,-17.8,5970000000.0,N/A,1640000000.0,12.37,-44.3,11440000000.0,89.22,6550000000.0,N/A,N/A,113.54,1550000000.0,N/A,1.25,104.31,144.55,1040000.0,128270000.00000001,127510000.0,0.43,84.57,2220000.0,2.55,1.96,2180000.0
0,0,MU,0,0,0,0,51820000000.0,50310000000.0,22.62,9.42,1.69,2.69,1.4,2.57,6.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10700000000.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.82,49.65,31130000.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,0,MUR,0,0,0,0,1800000000.0,5180000000.0,22.56,63.29,5.48,0.69,0.33,1.86,5.02,24.76,23.89,3.61,-6.48,2800000000.0,17.62,-4.6,2300000000.0,1960000000.0,-316330000.0,4.36,N/A,407750000.0,2.65,3780000000.0,74.21,1.4,31.82,1660000000.0,-209980000.0,3.3,8.18,18.33,5960000.0,153570000.0,144210000.0,5.74,103.31,25070000.0,3.52,27.96,25390000.0
0,0,MWV,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,0,MYL,0,0,0,0,9080000000.0,20530000000.0,585.67,3.95,N/A,0.79,0.76,1.79,7.63,0.15,13.33,2.99,0.14,11500000000.0,22.3,3.7,4550000000.0,3370000000.0,16800000.0,0.03,-60.0,563700000.0,1.09,12920000000.0,108.76,1.21,23.02,1800000000.0,1950000000.0,1.55,15.68,18.28,7830000.0,516940000.00000006,512940000.00000006,1.37,87.96,22960000.0,3.71,5.71,21090000.0
0,0,NBL,0,0,0,0,4860000000.0,11860000000.0,N/A,36.63,N/A,1.08,0.58,2.69,-4.0,-118.53,-53.75,-7.55,-66.92,4350000000.0,9.11,-1.4,2820000000.0,3700000000.0,-5160000000.0,-10.79,N/A,1400000000.0,2.92,8630000000.0,167.45,1.32,9.18,1950000000.0,1970000000.0,N/A,7.35,16.24,12900000.0,479700000.0,472990000.0,1.29,99.06,26450000.0,2.28,7.26,26190000.0
