Date,Open,High,Low,Close,Adj Close,Volume
2003-08-01,99.19000244140625,99.52999877929688,98.23999786376953,98.51000213623047,70.94463348388672,49321000
2003-08-04,98.30999755859375,99.0,97.0,98.51000213623047,70.94463348388672,55214100
2003-08-05,98.41000366210938,98.76000213623047,96.33999633789062,96.41999816894531,69.43946838378906,61415600
2003-08-06,96.69000244140625,98.05999755859375,96.41999816894531,96.9800033569336,69.84278106689453,50096900
2003-08-07,97.16999816894531,98.06999969482422,96.76000213623047,98.0,70.5773696899414,43427400
2003-08-08,98.31999969482422,98.55000305175781,97.76000213623047,98.27999877929688,70.77899169921875,27357300
2003-08-11,98.26000213623047,99.04000091552734,97.83999633789062,98.6500015258789,71.04544830322266,34631400
2003-08-12,98.70999908447266,99.58999633789062,98.41999816894531,99.55000305175781,71.69365692138672,43285600
2003-08-13,99.81999969482422,99.8499984741211,98.52999877929688,99.04000091552734,71.32633209228516,36152000
2003-08-14,99.0999984741211,99.75,98.44999694824219,99.30999755859375,71.52078247070312,35525100
2003-08-15,99.36000061035156,99.79000091552734,99.12000274658203,99.62000274658203,71.7440414428711,12567000
2003-08-18,99.93000030517578,100.5999984741211,99.73999786376953,100.4800033569336,72.3634262084961,22873800
2003-08-19,100.69000244140625,100.94000244140625,100.0,100.86000061035156,72.6370620727539,37437700
2003-08-20,100.29000091552734,100.88999938964844,100.16000366210938,100.44999694824219,72.34176635742188,21295300
2003-08-21,101.05000305175781,101.5199966430664,100.4000015258789,100.7699966430664,72.57225036621094,46494200
2003-08-22,101.75,101.81999969482422,99.7300033569336,99.7699966430664,71.8520736694336,52040300
2003-08-25,99.70999908447266,100.83000183105469,99.27999877929688,99.93000030517578,71.96729278564453,23473000
2003-08-26,99.5,100.38999938964844,98.83000183105469,100.11000061035156,72.09689331054688,45065800
2003-08-27,100.05000305175781,100.36000061035156,99.56999969482422,100.13999938964844,72.1185302734375,18919500
2003-08-28,100.4000015258789,101.0,99.66000366210938,100.76000213623047,72.56504821777344,27402400
2003-08-29,100.61000061035156,101.4800033569336,100.4800033569336,101.44000244140625,73.05477142333984,28706600
